Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
8691788,37249,Michelle Harrington,Ebony39@gmail.com,1414786801,3959 Amanda Burgs,Dortmund,Berlin,77985,Germany,21,Male,Low,Regular,9/18/2023,2023,September,22:03:55,3,108.0287567,324.08627,Clothing,Nike,Shorts,Excellent,Same-Day,Debit Card,Shipped,5,Cycling shorts
2174773,69749,Kelsey Hill,Mark36@gmail.com,6852899987,82072 Dawn Centers,Nottingham,England,99071,UK,19,Female,Low,Premium,12/31/2023,2023,December,08:42:04,2,403.3539073,806.7078147,Electronics,Samsung,Tablet,Excellent,Standard,Credit Card,Processing,4,Lenovo Tab
6679610,30192,Scott Jensen,Shane85@gmail.com,8362160449,4133 Young Canyon,Geelong,New South Wales,75929,Australia,48,Male,Low,Regular,4/26/2023,2023,April,04:06:29,3,354.4775997,1063.432799,Books,Penguin Books,Children's,Average,Same-Day,Credit Card,Processing,2,Sports equipment
7232460,62101,Joseph Miller,Mary34@gmail.com,2776751724,8148 Thomas Creek Suite 100,Edmonton,Ontario,88420,Canada,56,Male,High,Premium,05-08-2023,2023,May,14:55:17,7,352.4077173,2466.854021,Home Decor,Home Depot,Tools,Excellent,Standard,PayPal,Processing,4,Utility knife
4983775,27901,Debra Coleman,Charles30@gmail.com,9098267635,5813 Lori Ports Suite 269,Bristol,England,48704,UK,22,Male,Low,Premium,01-10-2024,2024,January,16:54:07,2,124.2765245,248.5530491,Grocery,Nestle,Chocolate,Bad,Standard,Cash,Shipped,1,Chocolate cookies
6095326,41289,Ryan Johnson,Haley12@gmail.com,3292677006,532 Ashley Crest Suite 014,Brisbane,New South Wales,74430,Australia,58,Female,Medium,Premium,9/21/2023,2023,September,23:24:27,4,296.2918059,1185.167224,Electronics,Apple,Tablet,Good,Express,PayPal,Pending,4,Lenovo Tab
5434096,97285,Erin Lewis,Arthur76@gmail.com,1578355423,600 Brian Prairie Suite 497,Kitchener,Ontario,47545,Canada,29,Female,Low,New,6/26/2023,2023,June,13:35:51,2,315.0576476,630.1152951,Electronics,Samsung,Television,Bad,Standard,Cash,Processing,1,QLED TV
2344675,26603,Angela Fields,Tanya94@gmail.com,3668096144,237 Young Curve,Munich,Berlin,86862,Germany,29,Male,Medium,Premium,3/24/2023,2023,March,10:12:56,1,46.58807038,46.58807038,Clothing,Zara,Shirt,Bad,Same-Day,Cash,Processing,1,Dress shirt
4155845,80175,Diane Clark,Martin39@gmail.com,6219779557,8823 Mariah Heights Apt. 263,Wollongong,New South Wales,39820,Australia,46,Male,Medium,New,01-06-2024,2024,January,14:38:26,8,328.8393017,2630.714413,Grocery,Nestle,Chocolate,Bad,Same-Day,Cash,Delivered,1,Dark chocolate
4926148,31878,Lori Bell,Jessica33@gmail.com,6004895059,6225 William Lodge,Cologne,Berlin,64317,Germany,25,Male,Medium,New,10-04-2023,2023,October,22:27:40,10,397.6112295,3976.112295,Home Decor,Home Depot,Decorations,Excellent,Standard,Cash,Delivered,4,Candles
8493213,19136,Jonathan Eaton,Mark38@gmail.com,2996714102,9772 Sosa Coves,Portsmouth,England,59280,UK,64,Female,Low,Regular,7/20/2023,2023,July,23:06:51,4,90.98186975,363.927479,Home Decor,Home Depot,Tools,Average,Standard,Credit Card,Shipped,2,Screwdriver set
1609659,66883,Brianna Oconnor,David47@gmail.com,9398168800,95471 Jerry Hollow Suite 034,Portsmouth,England,91253,UK,31,Female,Medium,Regular,6/21/2023,2023,June,13:09:58,1,364.8305669,364.8305669,Books,Random House,Non-Fiction,Average,Standard,Credit Card,Pending,2,Science
2846832,31930,Kristine Williams,Charles29@gmail.com,1822767586,60629 Jones Villages,Portsmouth,England,38173,UK,56,Female,Medium,Regular,01-02-2024,2024,January,00:00:47,10,161.879361,1618.79361,Grocery,Coca-Cola,Water,Bad,Standard,PayPal,Delivered,1,Bottled water
3217461,74671,Felicia Brown,Laura72@gmail.com,8869644441,381 Richard Plaza,Portsmouth,England,32061,UK,53,Female,Medium,Regular,05-07-2023,2023,May,18:49:35,9,350.8170158,3157.353142,Grocery,Nestle,Snacks,Excellent,Express,PayPal,Delivered,4,Fruit snacks
2401331,98300,Andrew Guzman,Eric76@gmail.com,2923044936,470 Rodriguez Estate Suite 564,Portsmouth,England,5259,UK,32,Female,High,Regular,11/18/2023,2023,November,23:41:05,6,297.7260391,1786.356235,Clothing,Adidas,T-shirt,Bad,Same-Day,Cash,Shipped,1,V-neck tee
4969987,64995,Justin Lara,Jacob26@gmail.com,2683281702,3577 Cole Stream Apt. 351,Portsmouth,England,9845,UK,43,Male,Medium,Regular,6/15/2023,2023,June,23:24:22,3,23.72390122,71.17170367,Books,Random House,Literature,Bad,Express,Credit Card,Pending,1,Drama
